"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","555482","22/08/2023 - 22:33","LOMBA DO PINHEIRO","PROFESSORA MARCELINA MACHADO","PRODUTOS PERIGOSOS","ABT-1250","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.11892312160151","-51.10410690307618","EXPLOSIVO",""
"PORTO ALEGRE","555485","22/08/2023 - 22:56","FARROUPILHA","SANTANA","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.039563359939013","-51.213819980621345","INSPEÇÃO/REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","555497","23/08/2023 - 03:03","PROTÁSIO ALVES","PROTÁSIO ALVES","INCÊNDIO","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.044504313441692","-51.10307693481446","VEGETAÇÃO",""
"PORTO ALEGRE","555499","23/08/2023 - 05:41","NONOAI","CACHOEIRA","INCÊNDIO","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.0888132728614","-51.22117996215821","TRANSFORMADOR/REDE ELÉTRICA",""
"PORTO ALEGRE","555516","23/08/2023 - 08:03","CENTRO","JOSÉ LOUREIRO DA SILVA","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.028937617799105","-51.22680299088283","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","555536","23/08/2023 - 09:40","IPANEMA","GUAÍBA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.135997379249435","-51.23193025588989","REMOÇÃO | VISTORIA",""
"PORTO ALEGRE","555552","23/08/2023 - 10:06","CENTRO HISTÓRICO","PRAÇA OTÁVIO ROCHA","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.028584645276354","-51.226372102754254","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555553","23/08/2023 - 10:07","CENTRO","MARECHAL FLORIANO PEIXOTO","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.02869611041933","-51.2247841215333","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555580","23/08/2023 - 10:41","RESTINGA","ECONOMISTA NILO WULFF","AÇÕES PREVENTIVAS","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.14874083081097","-51.14981174468995","PALESTRAS/TREINAMENTOS EXTERNOS",""
"PORTO ALEGRE","555583","23/08/2023 - 10:44","RUBEM BERTA","RUA DOS MAIAS","OCORRÊNCIA NÃO ATENDIDA","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-29.997257974977167","-51.09584569931031","",""
"PORTO ALEGRE","555591","23/08/2023 - 11:04","SÃO JOÃO","BENJAMIN CONSTANT","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.016750049614288","-51.19686841964722","VISTORIA DE HIDRANTES",""
