"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","574045","16/10/2023 - 19:13","CENTRO","DOUTOR FLORES","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.02708914248626","-51.22448444366456","RESGATE",""
"PORTO ALEGRE","574049","16/10/2023 - 19:21","MONT SERRAT","RUA TENENTE CORONEL FABRICIO PILLAR","SALVAMENTO/BUSCA/RESGATE","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.02815736106716","-51.190602779388435","DE ANIMAL",""
"PORTO ALEGRE","574052","16/10/2023 - 19:26","CAMAQUÃ","TEOTÔNIA","PRODUTOS PERIGOSOS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.10526158980697","-51.241285800933845","EXPLOSIVO",""
"PORTO ALEGRE","574053","16/10/2023 - 19:29","NONOAI","XAVIER DA CUNHA","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.09417876955722","-51.23375415802003","CORTE TOTAL",""
"PORTO ALEGRE","574060","16/10/2023 - 20:14","RESTINGA","JORGE PEREIRA NUNES 1784","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.15217807991872","-51.142945216657736","VISTORIA",""
"PORTO ALEGRE","574169","17/10/2023 - 00:14","SANTA TEREZA","MOAB CALDAS","SALVAMENTO/BUSCA/RESGATE","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.07846205446873","-51.22490286827088","DE ANIMAL",""
"PORTO ALEGRE","574247","17/10/2023 - 08:57","ABERTA DOS MORROS","ESTRADA JORGE PEREIRA NUNES","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.136257182099392","-51.18654306423261","CORTE TOTAL",""
"PORTO ALEGRE","574247","17/10/2023 - 08:57","ABERTA DOS MORROS","ESTRADA JORGE PEREIRA NUNES","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-1227","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.160007695434842","-51.19742631912232","VISTORIA",""
"PORTO ALEGRE","574351","17/10/2023 - 12:19","AZENHA","IPIRANGA","SALVAMENTO/BUSCA/RESGATE","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.043445558435746","-51.203608349589565","COLISÃO/CHOQUE",""
"PORTO ALEGRE","574363","17/10/2023 - 12:58","MOINHOS DE VENTO","PADRE CHAGAS","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.027204514457367","-51.20422391377402","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","574364","17/10/2023 - 12:59","FLORESTA","RUA 3 DE MAIO","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.015716395839913","-51.20026281647068","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","574405","17/10/2023 - 14:15","TRISTEZA","GENERAL RONDON","SALVAMENTO/BUSCA/RESGATE","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.102704483195733","-51.24438107013703","DE ANIMAL",""
"PORTO ALEGRE","574409","17/10/2023 - 14:23","CAMPO NOVO","RUA DOS BIAZETTOS","INCÊNDIO","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.145669934762815","-51.197914481163025","EDIFICAÇÃO MULTIFAMILIAR",""
"PORTO ALEGRE","574409","17/10/2023 - 14:23","CAMPO NOVO","RUA DOS BIAZETTOS","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.14624051633453","-51.200280919055096","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","574428","17/10/2023 - 15:03","ESPÍRITO SANTO","AV JUCA BATISTA","AÇÕES PREVENTIVAS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.146611624528745","-51.20975375175476","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","574464","17/10/2023 - 16:12","ANCHIETA","AV. SEVERO DULLIUS","SALVAMENTO/BUSCA/RESGATE","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.987683562907126","-51.172589906404866","DE ANIMAL",""
"PORTO ALEGRE","574487","17/10/2023 - 17:31","CIDADE BAIXA","JOSE DO PATROCINIO","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.0374085812522","-51.22581481933594","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","574488","17/10/2023 - 17:35","SANTANA","RUA SÃO LUIS","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.050410844225524","-51.20261907577515","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","574492","17/10/2023 - 17:39","MENINO DEUS","GONÇALVES DIAS","AÇÕES PREVENTIVAS","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.05676275779781","-51.21972127693096","FESTAS E EVENTOS",""
